,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
13,IN MY REMAINS,LIVING THINGS,spotify:track:00KfIFi2TpAaQGPbRbFbKJ,Linkin Park,0.00401,0.553,200693,0.907,0.0,9,0.266,-5.623,0,0.0484,100.967,4,0.451
14,"""Professor Langdon?"" fragte Sato",Das verlorene Symbol,spotify:track:00Kgmmb3sLa98LmXLx7Sae,Dan Brown,0.309,0.685,207067,0.471,0.0,11,0.146,-16.567,0,0.943,140.081,3,0.524
15,,,spotify:track:00RI7b6oZDjx6IQC2eH6bh,,0.244,0.529,168853,0.847,0.0,4,0.205,-5.513,0,0.0482,93.977,4,0.69
16,Hellfire,The Attractions Of Youth,"spotify:track:00RI7b6oZDjx6IQC2eH6bh,spotify:track:0UVkwbNoV4XRMgYcoV3hNm",Barns Courtney,,,,,,,,,,,,,
17,Lemon Tea,Chillhop Essentials Summer 2017,spotify:track:00RW0bhpba2Djqf8E65sXL,Gyvus,0.0505,0.783,149333,0.332,0.856,1,0.1,-8.793,0,0.062,90.026,4,0.667
18,Shepherd,Henosis,spotify:track:00SJNlkcEdP38xzNsnc7aV,Joep Beving,0.935,0.0978,441937,0.165,0.866,8,0.37,-14.904,0,0.0312,77.976,3,0.0353
19,Martini am Schlesi,Martini am Schlesi,spotify:track:00SPeln6VBtnph1HXRXHms,carls8erg,0.597,0.842,253398,0.272,5.05e-05,10,0.0969,-12.598,1,0.0561,99.939,4,0.518
20,CAN'T BE TAMED,Main Character Music,spotify:track:00SrkVxmgzcROR0EOn0q0L,Aim Vision,0.373,0.796,202060,0.547,0.0,11,0.0951,-11.208,1,0.161,101.037,4,0.839
21,052 - Das rote Phantom - Teil 23,052/Das rote Phantom,spotify:track:00THvpWsnMouedPqSjtBm6,Die drei !!!,0.721,0.73,116773,0.69,0.0,11,0.632,-9.871,0,0.864,52.849,4,0.65
22,Rosmarin,KOMMAKLAR,spotify:track:00VNYZywMn5IR1aoHAjFWi,Longus Mongus,0.844,0.834,156799,0.586,0.0,3,0.109,-8.674,0,0.138,138.128,4,0.351
23,Some Other Time,Some Other Time,spotify:track:00XUUci0jcUyCtVgMk8AxB,Lia Riggs Trio,0.951,0.562,191700,0.0329,0.906,0,0.105,-23.343,1,0.0408,98.838,4,0.306
24,S,S,spotify:track:00aHSZYpstx3OUKOuId04a,Kupla,0.759,0.629,120000,0.253,0.893,10,0.111,-10.434,0,0.453,76.157,4,0.331
25,Lovelawn,666 Kill,spotify:track:00cdbXsGGYnjjN9bMrxk1F,Willie J Healey,0.0871,0.557,251935,0.508,0.00623,9,0.238,-7.337,1,0.0286,172.268,4,0.615
26,Friends 'Til the End,Life On A Plate,spotify:track:00cjb9ge4OJllcoUN8l1jm,Millencolin,1.8e-05,0.128,151507,0.922,3.55e-05,11,0.342,-7.389,0,0.138,201.818,4,0.51
27,"What Love Is, I Think",Dreams for Two,spotify:track:00e1c7sY2YmpscKwKdddX0,Rook1e,0.971,0.418,70423,0.207,0.0696,10,0.103,-12.206,0,0.0461,118.049,4,0.343
28,Achtung! Achtung!,Familienalbum,spotify:track:00eABSNuGnmFiw1ydnSKI0,Die Prinzen,0.271,0.853,184200,0.709,4.87e-05,5,0.365,-5.933,0,0.0531,115.017,4,0.753
29,"Helden des Olymp, Teil 1: Der verschwundene Halbgott, Kapitel 31","Helden des Olymp, Teil 1: Der verschwundene Halbgott",spotify:track:00efgacIGmawkVIyJmpzDR,Rick Riordan,0.355,0.72,142000,0.334,0.0,7,0.395,-15.874,1,0.928,120.094,5,0.681
30,Männer und Frauen,Zurück in die Zukunst,spotify:track:00f6vzgnKVAKFYlEyAdifc,SDP,0.0608,0.462,221347,0.85,0.0,8,0.308,-4.31,1,0.0354,84.92,4,0.601
31,Is This Love,The Schwings Band Feat. Migloko,spotify:track:00fA1fomeN6hVag2XrYiDL,THE SCHWINGS BAND,0.775,0.61,168407,0.326,0.0,6,0.103,-12.393,0,0.128,197.517,4,0.879
32,Cheek To Cheek,Swing-Sation: Tommy Dorsey & Artie Shaw,spotify:track:00fqV4JSmKiZMwrP0je7xV,Tommy Dorsey,0.703,0.594,185200,0.324,0.000677,5,0.108,-8.062,0,0.0392,143.827,4,0.601
33,Hero Of War,Appeal To Reason,spotify:track:00hVU6kDP67JHurfwG2dtq,Rise Against,0.543,0.636,253080,0.417,0.0,4,0.0982,-7.022,1,0.0292,76.964,4,0.255
34,Karma,Karma,spotify:track:00hw8lAwaWm8EeYZHxcrpX,MC Bilal,0.395,0.793,152519,0.459,0.0,9,0.209,-9.396,0,0.541,136.045,4,0.653
35,Open Up Your Heart,Open Up Your Heart,spotify:track:00i0AlCpY8T1LiDVfcqphm,Paul Damixie,0.0758,0.803,331579,0.818,0.00203,9,0.378,-7.152,0,0.262,123.019,4,0.861
36,"Percy Jackson: Diebe im Olymp, Teil 1 - Kapitel 1","Percy Jackson, Teil 1: Diebe im Olymp",spotify:track:00kJdU0KlGE61ybBtnFs7O,Rick Riordan,0.53,0.663,378120,0.297,0.0,0,0.148,-20.918,1,0.951,92.416,5,0.45
37,,,spotify:track:00lNx0OcTJrS3MKHcB80HY,,0.163,0.876,213947,0.669,0.0,11,0.185,-6.054,0,0.138,124.007,4,0.682
38,You Don't Know Me - Radio Edit,You Don't Know Me,"spotify:track:00lNx0OcTJrS3MKHcB80HY,spotify:track:4WrS6vezaPwOafKJmHqMEU",Jax Jones,,,,,,,,,,,,,
39,Just A Little Bit,Doggin',spotify:track:00lcKlxU8FJZFMfFiAu9rV,Rosco Gordon,0.347,0.67,123169,0.453,6.22e-05,0,0.112,-14.01,1,0.0338,138.331,4,0.963
40,your bracelet,your bracelet,spotify:track:00nEN5niaWAP6RtbUXpZDP,SANDCASTLES,0.784,0.604,215517,0.418,2.2e-05,3,0.15,-12.772,1,0.0378,98.0,4,0.344
41,Midnight Stroll,Midnight Stroll,spotify:track:00oSY6ZhNBI9uDf45e6VMw,CMJ,0.645,0.709,132414,0.208,0.743,11,0.0907,-18.08,0,0.106,173.993,4,0.428
42,Stay Away (feat. Machine Gun Kelly & Goody Grace),Stay Away (feat. Machine Gun Kelly & Goody Grace),spotify:track:00okrW9OfjmG0PZJSY3fJd,MOD SUN,0.022,0.667,151891,0.636,0.0,8,0.0908,-5.669,1,0.082,158.058,4,0.152
43,Ruten - Angry Luna Remix,"O.V.N.I., Vol. 7",spotify:track:00qN2tsxrTwQktD9IkJjk4,JunxPunx,8.54e-06,0.46,374006,0.946,0.646,7,0.0995,-6.95,0,0.0692,190.029,4,0.0934
44,San Franciscan Nights,"Wind, Sky And Diamonds",spotify:track:00rDcOb5oBm6tUvhDnDhdJ,Gábor Szabó,0.851,0.564,203040,0.229,0.025,0,0.125,-18.816,1,0.0448,94.234,4,0.406
45,No Confusion,No Confusion,spotify:track:00rY2bXkQ4Bdu9pUVwKdPN,B dom,0.42,0.566,146000,0.176,0.885,11,0.0738,-14.696,0,0.034,83.989,4,0.194
46,Thinking of You,Thinking of You,spotify:track:00slPW2hNEqF22b1KZrC1P,Sarcastic Sounds,0.729,0.671,73535,0.333,0.234,6,0.118,-15.435,0,0.479,160.021,4,0.381
47,Plein les doigts,Clio,spotify:track:00umXm37Lso0GPEFZSCxWE,Clio,0.966,0.574,173067,0.178,0.0,7,0.0981,-12.921,0,0.232,147.075,4,0.473
48,,,spotify:track:00vk0sEfb6mr2ehwSw0Uhn,,0.057,0.773,192227,0.849,0.0103,8,0.397,-8.345,0,0.0587,119.981,4,0.913
49,Don't Be So Shy - Filatov & Karas Remix,The Wrong Kind Of War,"spotify:track:00vk0sEfb6mr2ehwSw0Uhn,spotify:track:6VbSNRgUsNq82Mf7nPmwAk",Imany,,,,,,,,,,,,,
50,006 - Skandal auf Sendung - Teil 14,006/Skandal auf Sendung,spotify:track:00wgWExIqisdNbaaVaZrRI,Die drei !!!,0.891,0.647,107973,0.712,0.0,1,0.373,-10.826,1,0.917,88.494,4,0.686
51,,,spotify:track:00ylpioXq9EFFUbI7gay05,,0.539,0.708,251747,0.862,0.0,7,0.11,-6.072,1,0.0929,114.117,4,0.785
52,Dunes,Dunes,spotify:track:00zOsGRTYcWVp6PXjknlky,Shrimpnose,0.891,0.704,146341,0.323,0.753,6,0.109,-11.835,0,0.364,81.957,4,0.159
53,Im Suff zu eskalieren,"Sommer, Sonne, Ostdeutschland",spotify:track:011CaANLGGP16DaDPHGuGu,East German Beauties,0.071,0.627,266717,0.733,0.266,7,0.0504,-7.467,1,0.036,140.027,4,0.662
54,"Love, Peace & Happiness",5. DIMENSION,spotify:track:011Xn3Wqii67s4aaPgheiu,Marteria,0.304,0.845,213701,0.537,2.07e-05,9,0.162,-7.397,0,0.147,126.886,4,0.377
55,leaving blues,Torch Songs: Leaving Blues,spotify:track:0137Z8vxSpvBZw6GcelLoh,Lewis Watson,0.754,0.696,188010,0.468,0.000147,4,0.0685,-10.186,1,0.0299,129.682,4,0.199
56,"Alabama - Live At Birdland Jazzclub, New York City, NY, 10/18/1963",Live At Birdland,spotify:track:013grywiX7Qu6WVfnJ1opa,John Coltrane,0.774,0.428,308933,0.0768,0.0487,0,0.123,-17.412,0,0.0413,107.712,4,0.112
57,Dancing On My Own - Tiësto Remix,Dancing On My Own,spotify:track:014J7jX1wSv0manSdRnveo,Calum Scott,0.0194,0.608,224392,0.648,0.00104,1,0.0897,-5.569,1,0.036,121.96,4,0.114
58,,,spotify:track:015ROS1oTBabLaOLMzDF47,,0.92,0.755,208092,0.53,0.0334,8,0.15,-12.514,1,0.146,103.985,4,0.903
59,Say It (Over And Over Again),Ballads,spotify:track:016HKF7A4O7tatoJ9BgZM1,John Coltrane Quartet,0.963,0.532,255960,0.124,0.376,3,0.246,-13.034,1,0.0408,66.774,4,0.217
60,До-ре-ми-фа-соль,Пусть всегда будет солнце,spotify:track:018rVYsPteXJfxY2nBboxR,Oleg Anofriyev,0.579,0.453,151519,0.307,0.0,0,0.387,-13.778,1,0.0287,109.438,4,0.694
61,,,spotify:track:019V57NOngssFoGhD0IwgC,,0.906,0.491,100250,0.135,0.686,10,0.121,-20.104,1,0.0985,114.883,4,0.159
62,The House Of Beorn - Extended Version,The Hobbit - The Desolation Of Smaug,spotify:track:01AMyHdsDftL1AzPG5wZz8,Howard Shore,0.677,0.0628,292533,0.112,0.912,9,0.12,-21.027,0,0.0437,70.151,3,0.0364
63,Clown Hunter,Chips N Gravy EP,spotify:track:01CjREP70nqsoPAdXazVUq,Dr Cryptic,0.0062,0.882,237273,0.761,0.806,9,0.937,-6.891,1,0.133,132.015,4,0.572
64,Please Send Me Someone To Love,The Voice Within: The Speciality Singles 1950-55,spotify:track:01E7ED1pxNnX6R1cpgFfF5,Percy Mayfield,0.89,0.385,173907,0.184,7.05e-06,0,0.0977,-11.744,1,0.0484,200.683,3,0.344
65,,,spotify:track:01HboZifMQL77AFMrGBW7w,,0.883,0.905,178730,0.173,0.778,6,0.123,-17.878,1,0.0785,125.03,4,0.407
66,Dance with Me,Dance All Night with Spanish Guitar,"spotify:track:01HboZifMQL77AFMrGBW7w,spotify:track:3jgPdn9MC2NyoCCYSBoT7J",Evan Zappa,,,,,,,,,,,,,
67,Funky Friday,Funky Friday,spotify:track:01IQ4aQgOf0Kkq3a273hmO,Dave,0.0783,0.975,182741,0.535,0.0,1,0.107,-7.227,1,0.196,125.066,4,0.671
68,Superfly,Superfly (Soundtrack from the Motion Picture),spotify:track:01MOVvCmPmnLbAePdB3N1t,Curtis Mayfield,0.552,0.779,240160,0.776,0.000108,2,0.0998,-7.393,1,0.138,119.899,4,0.761
69,,,spotify:track:01Ok47nrZJA4nfXPWuh5Bk,,0.911,0.438,275693,0.519,0.000493,2,0.939,-14.639,0,0.357,179.786,3,0.266
70,hoth ice caves ~ the force theme (star wars lofi) [feat. King I Divine],hoth ice caves ~ the force theme (star wars lofi) [feat. King I Divine],spotify:track:01PeIlYY3OwM6u5TtRWPSz,Closed on Sunday,0.827,0.649,86910,0.486,0.918,11,0.166,-10.019,0,0.0697,156.057,4,0.151
71,Home Of My Tomorrow,Home Of My Tomorrow,spotify:track:01PueBjWRvJTwWwuClGbEp,Clover Post,0.967,0.266,188461,0.209,0.972,6,0.1,-17.01,1,0.035,84.714,3,0.176
72,bubble,bubble,spotify:track:01PupqJt6kHAUK8is9RO9t,lulu,0.671,0.581,136000,0.389,0.0251,10,0.1,-11.848,0,0.114,144.992,4,0.44
73,Mom & Dad,Mom & Dad,spotify:track:01SsBC3CxPCcdrBkx2uCKs,Koralle,0.777,0.744,175747,0.0938,0.905,2,0.0866,-12.294,0,0.0588,83.0,4,0.591
74,Yesterday,Yesterday,spotify:track:01TcDiyykkezbkm6TMyd3o,Lofi Fruits Music,0.892,0.69,115815,0.288,0.901,5,0.109,-12.372,1,0.0398,79.974,4,0.466
75,#thatPOWER,#willpower,spotify:track:01TuObJVd7owWchVRuQbQw,will.i.am,0.00112,0.797,279507,0.607,7.52e-05,6,0.0748,-6.096,0,0.0585,128.01,4,0.399
76,,,spotify:track:01UHYCiwhLwlmuWQZg5phl,,0.441,0.495,242480,0.461,0.00546,10,0.146,-12.065,0,0.244,64.334,4,0.527
77,Jazz Got Me,SUGAR LIKE SALT,"spotify:track:01UHYCiwhLwlmuWQZg5phl,spotify:track:4o5MsHEU7bPIzOo49mv92l",Louis VI,,,,,,,,,,,,,
78,Teil 1 Kapitel 1.2,9 Tage wach,spotify:track:01Wnh4sNB8rIuO5DZpLVF4,Eric Stehfest,0.0576,0.621,126813,0.234,9.01e-05,9,0.335,-20.082,1,0.952,169.62,5,0.298
79,Lipstick,Club Azur,spotify:track:01XT67XI0UAOeeKWnLe9Jn,Kungs,0.0399,0.781,180947,0.899,0.0,9,0.0442,-4.817,0,0.0686,126.042,4,0.937
80,Queere Tiere,Mortem & Makeup,spotify:track:01XrVIvl8Hit75DP8e0yWj,Sookee,0.13,0.672,208202,0.856,1.35e-05,6,0.074,-6.284,1,0.194,92.901,4,0.492
81,"Softly, as in a Morning Sunrise","Softly, as in a Morning Sunrise",spotify:track:01Y1rFJpmKXucS9yNdwin0,Sal Ritter,0.977,0.519,190598,0.151,0.952,5,0.0972,-20.193,0,0.0412,141.725,4,0.342
82,Rot,Love Hotel,spotify:track:01YCXtGSFPt6biDZXrd436,Yung Hurn,0.0212,0.672,181816,0.502,0.000108,11,0.134,-9.119,0,0.096,67.356,5,0.37
83,Built To Break,Built To Break,spotify:track:01YbTRYArW2qEQb3hQjnSB,COSIE,0.879,0.578,182889,0.334,1.76e-05,4,0.0879,-14.884,0,0.0901,83.934,4,0.29
84,Bildungsbürgerprolls,Bildungsbürgerprolls,spotify:track:01YyfPnYHvbPnhaBcvUknx,Pöbel MC,0.325,0.898,153680,0.498,0.0,8,0.108,-12.011,1,0.498,126.978,4,0.339
85,,,spotify:track:01agKeBhkaFQuGJkVzdI2K,,0.00458,0.66,218903,0.849,0.000107,0,0.0878,-5.97,1,0.029,102.003,4,0.839
86,Gold Snafu,Land Of Pleasure,"spotify:track:01agKeBhkaFQuGJkVzdI2K,spotify:track:6jj5kO7tFT3ir8WbbVO0iU",Sticky Fingers,,,,,,,,,,,,,
87,That's So Sweet,That's So Sweet,spotify:track:01hon1jsVutJawggiUh2Ct,landlooper,0.947,0.547,144000,0.264,0.944,0,0.0917,-13.936,1,0.0867,79.924,4,0.0704
88,SMS K.O.,SMS K.O.,spotify:track:01jPPj0ujw10OfzixJGaVN,Selig,0.353,0.677,254248,0.417,2.08e-05,4,0.101,-6.595,0,0.0326,144.031,4,0.268
89,"Straight, No Chaser",The Quintessence,spotify:track:01k3YE4W9XfTTTXAG2QlEs,Quincy Jones,0.401,0.593,147080,0.475,0.00346,5,0.248,-12.875,0,0.0542,108.999,4,0.814
90,Japanese Music Dream,"Shakuhachi - Bamboo Flute Music (Japanese Flute for Relaxation, Meditation, Massage and Yoga)",spotify:track:01kAITKjHJLz23XHvtK2gk,Shakuhachi Sakano,0.992,0.273,189568,0.0997,0.969,6,0.137,-16.904,1,0.0361,80.586,4,0.226
91,RAVE,RAVE,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,0.235,0.716,169245,0.748,0.849,8,0.114,-6.06,1,0.0356,119.918,4,0.338
92,Warum nich,Munchies,spotify:track:01kxCMT4MUcJN1qVQ3sQzu,Curly,0.196,0.813,209250,0.629,2.85e-06,9,0.124,-7.09,0,0.12,119.969,4,0.354
93,Waiting for Superman,It's Not Over....The Hits So Far,spotify:track:01mWFDRL40UlnbOXya5gqm,Daughtry,0.00276,0.558,267333,0.667,0.0,0,0.0641,-6.041,1,0.0265,105.991,4,0.402
94,Chillin',Flickshots & Quickscopes,spotify:track:01nSTHpL2s6HBGuPI2UB88,baaskaT,0.663,0.672,106731,0.257,0.958,1,0.112,-17.106,1,0.0555,140.077,4,0.417
95,,,spotify:track:01nuU9lWBhjaQp3jWB1hez,,0.993,0.371,244773,0.0181,0.935,7,0.0971,-24.728,0,0.0473,134.581,1,0.223
96,Wind Me Up,Wind Me Up,spotify:track:01oKml0Y3E0ASCSYgcYgfe,Sunlike Brothers,0.00322,0.518,130620,0.705,0.00026,9,0.188,-5.569,0,0.0626,195.095,3,0.184
97,,,spotify:track:01pjjy6JyluzmHnsVih2fq,,8.26e-06,0.196,155614,0.984,4.12e-06,9,0.263,-3.289,1,0.286,86.095,4,0.548
98,Es ist noch Suppe da,10 Jahre Alligatoah,spotify:track:01pvJTSVA4CLk1mrArIKOe,Alligatoah,0.188,0.606,226667,0.883,0.0,10,0.335,-5.227,1,0.199,144.046,4,0.802
99,Safe Coast,Safe Coast,spotify:track:01s8HCwVQdNln83RmfFC7G,Henry And The Waiter,0.28,0.648,207840,0.661,0.0,6,0.316,-6.83,0,0.0431,106.004,4,0.496
100,035 - Diebe in der Lagune - Teil 34,035/Diebe in der Lagune,spotify:track:01sQbbcYZEH1p5527MR94J,Die drei !!!,0.723,0.54,115640,0.681,0.0,0,0.804,-10.207,1,0.944,67.566,4,0.582
101,At the Beginning - Azax Remix,At the Beginning (Azax Remix),spotify:track:01sg73VRVQXZbetAOfZYRf,Ritmo,0.000619,0.612,493714,0.811,0.758,6,0.0978,-7.021,0,0.0515,140.004,4,0.144
102,Feathers,All Natural,spotify:track:01tMS0uOOkkfFg88P9QPq2,Kupla,0.811,0.512,120051,0.204,0.612,10,0.102,-6.141,1,0.25,159.596,4,0.15
103,Ulf-Dietrich,Familienalbum,spotify:track:01tsnj2RVLYZvbs8sqwJN8,Die Prinzen,0.55,0.732,169867,0.518,5.33e-05,9,0.384,-7.856,1,0.0359,90.042,4,0.566
104,Инстинкт,Выход в город,spotify:track:01uFBeKFmTjc0QQ0wvEmw9,Noize MC,0.00508,0.548,233707,0.971,0.0,6,0.117,-3.37,0,0.141,90.004,4,0.694
105,Same Love (feat. Mary Lambert),The Heist,spotify:track:01uqI4H13Gsd8Lyl1EYd8H,Macklemore & Ryan Lewis,0.716,0.688,318525,0.473,4.46e-05,8,0.104,-9.059,1,0.167,84.958,4,0.299
106,Let It (Go) (Remix Version),Let It,spotify:track:01vSvbPCxouwtgz6105v5D,S productions,0.0617,0.673,206172,0.534,4.88e-06,9,0.441,-9.29,1,0.0677,140.086,4,0.474
107,Morph,Trench,spotify:track:01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,0.0747,0.734,258853,0.607,0.000577,8,0.0968,-7.249,0,0.0806,90.023,4,0.518
108,Real Slow,Debt'll Get'em,spotify:track:01yY8g6xlMgcBqtcj9ruPY,The Defibulators,0.208,0.599,265026,0.427,0.00952,7,0.129,-8.372,1,0.025,84.944,4,0.393
109,Come Back to Earth,Swimming,spotify:track:01z2fBGB8Hl3Jd3zXe4IXR,Mac Miller,0.89,0.272,161840,0.238,0.00925,2,0.275,-12.148,0,0.0349,83.507,4,0.119
110,Mata Hari,Tod/Geburt,spotify:track:01zqPqEbzuqNeIBoD6TmS0,Pilz,0.00529,0.667,219931,0.65,1.23e-06,4,0.0905,-8.073,0,0.318,97.023,4,0.391
111,Up Above My Head I Hear Music In The Air,Up Above My Head,spotify:track:020Jue4CBDS0qn9gXVeouQ,Sister Rosetta Tharpe,0.847,0.629,152040,0.487,0.0,7,0.121,-10.12,1,0.0714,81.59,4,0.961
112,Play God,Play God,spotify:track:022k1qYIMWV20yW7tjiBv5,Sam Fender,0.131,0.7,226967,0.677,0.0491,10,0.121,-7.206,0,0.0458,94.388,4,0.614
113,In der Nacht ist der Mensch nicht gern alleine,Ganz Oben - Hits MCMXCI - MCMXCVII,spotify:track:026lLHQfgFwP1R2My6Stj2,Die Prinzen,0.415,0.651,173373,0.719,0.0,0,0.214,-7.036,1,0.0426,125.925,4,0.75
114,Maneater - Radio Edit,80s 100 Hits - Volume 2,spotify:track:028r3igL3M00VdRCe2Ga7Q,Daryl Hall & John Oates,0.0153,0.728,270947,0.519,4.14e-05,11,0.103,-11.114,0,0.038,88.709,4,0.833
115,Sledgehammer,So,spotify:track:029NqmIySn1kOY305AAhxT,Peter Gabriel,0.0246,0.657,313533,0.685,0.0,1,0.037,-5.203,1,0.0334,96.458,4,0.424
116,Big Jilm,"At the Cat's Cradle, 1992",spotify:track:02Au0WIBFKhg0BsPB61odn,Ween,0.0117,0.664,216147,0.578,0.000796,8,0.139,-8.384,0,0.0991,103.618,4,0.591
117,Fallen Hero,Liberation,spotify:track:02CjgesWqzJHVmKNPbrJMq,Marcus Warner,0.622,0.172,233427,0.446,0.944,4,0.117,-7.584,1,0.0381,117.972,5,0.0684
118,,,spotify:track:02CygBCQOIyEuhNZqHHcNx,,0.205,0.802,261881,0.607,0.000748,11,0.246,-11.028,0,0.289,96.916,4,0.274
119,Can't You See,Can't You See,spotify:track:02G7MRjdMftnxmDyA4iGRv,The Aether,0.867,0.684,160192,0.421,0.881,1,0.271,-11.123,1,0.231,83.855,4,0.353
120,Friday the 13th,Shackland Sessions,spotify:track:02GF9UW4OwfkVl8dU4zjvP,Seed,0.0112,0.493,134286,0.787,0.0,1,0.132,-6.038,0,0.054,105.097,4,0.799
121,My Heart Is Buried In Venice,Montgomery Ricky,spotify:track:02H1K5Cw9Ar89b35XwSEw6,Ricky Montgomery,0.441,0.67,184867,0.413,8.63e-05,11,0.0902,-8.117,1,0.0273,112.011,3,0.145
122,Super Soaker (Smile On Impact Remix),Super Soaker (Remixes),spotify:track:02J5lAaD61XZTLy3DGVYqr,Bombs Away,0.000183,0.57,418366,0.906,0.143,6,0.226,-1.816,1,0.0829,173.983,4,0.578
123,The Boy Who Cried Wolf,The Boy Who Cried Wolf,spotify:track:02KgB1Qyk4PrFweUMGl9NO,Passenger,0.876,0.431,196813,0.286,0.00213,1,0.111,-15.688,1,0.0387,129.606,4,0.182
124,Flowers and the Snow,Independence Day,spotify:track:02L35AUJSHvIOeKERcWUdj,Fredo,0.0237,0.735,198793,0.682,9.47e-05,6,0.105,-6.448,0,0.085,87.013,4,0.132
125,Sweet Lilly,sweetlilly93@hotmail.com,spotify:track:02LceEbP4iJLQNkDSyrW6a,Von Wegen Lisbeth,0.308,0.909,161480,0.758,0.0115,9,0.088,-4.856,1,0.0522,141.08,4,0.819
126,Wonderfool,Loungin',spotify:track:02M3N0e0a6srBlevdm62LZ,Type.Raw,0.0747,0.892,180389,0.0803,0.679,5,0.0539,-12.086,0,0.242,81.076,4,0.895
127,,,spotify:track:02MWAaffLxlfxAUY7c5dvx,,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531
128,,,spotify:track:02MuiqcigT2BXA1hE86lZM,,0.279,0.755,149647,0.133,0.712,1,0.0868,-12.647,1,0.22,85.037,4,0.447
129,,,spotify:track:02N6JQNfiB1Hc4nKm2P0g4,,0.00215,0.497,206524,0.78,0.00038,7,0.178,-7.752,1,0.0435,183.126,4,0.871
130,Amsterdam,A Good Day for the Damned,"spotify:track:02N6JQNfiB1Hc4nKm2P0g4,spotify:track:1GWoRgTb8fm6d8m1YNM2QG",Jaya The Cat,,,,,,,,,,,,,
131,"Love Me Like You Do (From the ""Fifty Shades of Grey"") - Extended Workout Mix","Love Me Like You Do (From the ""Fifty Shades of Grey"") [Extended Workout Mix]",spotify:track:02NxiJqLfhydLER5YmfToE,Workout Crew,0.00337,0.762,297143,0.94,0.00159,8,0.296,-3.307,1,0.194,126.017,4,0.838
132,Sing to You,Sing to You,spotify:track:02PT20DulS4wVbekDl4zhk,Monty Datta,0.867,0.732,153611,0.234,0.0145,6,0.145,-11.6,0,0.113,115.19,4,0.07
133,Come,Zanaka (Deluxe),spotify:track:02R2z7JWV0G8VuU1xs58OB,Jain,0.222,0.819,162360,0.784,0.00794,1,0.0809,-6.524,1,0.0435,99.989,4,0.831
